"species","Type","Reitur","Year","Coverage"
"Lecanora polytropa","Hrúðurfléttur","R4","2020",0.5
"Lecanora polytropa","Hrúðurfléttur","R4","2023",0.5
"Lepraria neglecta","Hrúðurfléttur","R4","2014",0.5
"Lepraria neglecta","Hrúðurfléttur","R4","2017",0.5
"Lepraria neglecta","Hrúðurfléttur","R4","2020",0.5
"Lepraria neglecta","Hrúðurfléttur","R4","2023",0.5
"Pertusaria aspergilla","Hrúðurfléttur","R4","2014",0.5
"Pertusaria aspergilla","Hrúðurfléttur","R4","2017",0.5
"Pertusaria aspergilla","Hrúðurfléttur","R4","2020",0.5
"Pertusaria aspergilla","Hrúðurfléttur","R4","2023",0.5
"Placopsis gelida","Hrúðurfléttur","R4","2014",0.5
"Placopsis gelida","Hrúðurfléttur","R4","2017",0.5
"Placopsis gelida","Hrúðurfléttur","R4","2020",0.5
"Placopsis gelida","Hrúðurfléttur","R4","2023",0.5
"Tephromela atra","Hrúðurfléttur","R4","2014",0.5
"Tephromela atra","Hrúðurfléttur","R4","2017",0.5
"Tephromela atra","Hrúðurfléttur","R4","2020",0.5
"Tephromela atra","Hrúðurfléttur","R4","2023",0.5
"Varicellaria lactea","Hrúðurfléttur","R4","2014",0.5
"Varicellaria lactea","Hrúðurfléttur","R4","2017",0.5
"Varicellaria lactea","Hrúðurfléttur","R4","2020",0.5
"Varicellaria lactea","Hrúðurfléttur","R4","2023",0.5
"Óaðgreindar tegundir","Hrúðurfléttur","R4","2014",0.5
"Óaðgreindar tegundir","Hrúðurfléttur","R4","2017",0.5
"Óaðgreindar tegundir","Hrúðurfléttur","R4","2020",0.5
"Óaðgreindar tegundir","Hrúðurfléttur","R4","2023",0.5
"Ber klöpp","Hrúðurfléttur","R4","2014",0.5
"Ber klöpp","Hrúðurfléttur","R4","2017",0.5
"Ber klöpp","Hrúðurfléttur","R4","2020",0.5
"Ber klöpp","Hrúðurfléttur","R4","2023",0.5
"Andreaea rupestris","Mosar","R5","2014",0.5
"Andreaea rupestris","Mosar","R5","2017",0.5
"Andreaea rupestris","Mosar","R5","2020",0.5
"Andreaea rupestris","Mosar","R5","2023",0.5
"Grimmia donniana","Mosar","R5","2014",0.5
"Grimmia donniana","Mosar","R5","2017",0.5
"Grimmia donniana","Mosar","R5","2020",0.5
"Grimmia donniana","Mosar","R5","2023",0.5
"Racomitrium fasciculare","Mosar","R5","2014",0.5
"Racomitrium fasciculare","Mosar","R5","2017",0.5
"Racomitrium fasciculare","Mosar","R5","2020",0.5
"Racomitrium fasciculare","Mosar","R5","2023",0.5
"Racomitrium heterostichum","Mosar","R5","2014",0.5
"Racomitrium heterostichum","Mosar","R5","2017",0.5
"Racomitrium heterostichum","Mosar","R5","2020",0.5
